epoch,loss,val_hit_rate,val_mrr,val_ndcg,lr
1,7.666704894347512,0.05000000089406967,0.010678571760654449,0.01955645650625229,0.0005
2,7.147238135955495,0.020000000074505805,0.0035000000335276126,0.007197413928806782,0.0005
3,6.945821939972398,0.020000000149011612,0.004166666865348816,0.007868837490677833,0.0005
4,6.781530439544836,0.010000000074505806,0.001666666679084301,0.003562071807682514,0.0005
5,6.6287872630697455,0.030000000074505807,0.0057619048841297624,0.011223981603980065,0.0005
6,6.462495504883287,0.040000000074505805,0.01683333359658718,0.022197413481771944,0.00025
7,6.380560509281455,0.040000000074505805,0.010095238257199525,0.01707323156297207,0.00025
8,6.326026187659545,0.05000000014901161,0.009678571969270706,0.01891858197748661,0.00025
9,6.25479064704223,0.06000000089406967,0.007718253582715988,0.019140913262963296,0.00025
10,6.199376449683787,0.06000000089406967,0.015583334267139435,0.02596812590956688,0.00025
11,6.144521342658009,0.06000000029802322,0.015777777954936026,0.02595014378428459,0.00025
12,6.091472791266565,0.06000000089406967,0.020694444626569747,0.02977848060429096,0.00025
13,6.038524689452018,0.09000000029802323,0.019111112132668494,0.035167148262262346,0.00025
14,5.99651957793557,0.09000000238418579,0.029150794446468353,0.04303847208619118,0.00025
15,5.947917886348586,0.08000000029802322,0.02972222298383713,0.04155949398875237,0.00025
16,5.895624921729528,0.07000000089406967,0.02809523805975914,0.038204701840877535,0.00025
17,5.845419246298044,0.08000000029802322,0.036111111342906954,0.0464951990544796,0.00025
18,5.764146273617917,0.08000000029802322,0.0370833346247673,0.0473327824473381,0.000125
19,5.730601582502454,0.08000000029802322,0.03477777868509293,0.04580671906471252,0.000125
20,5.703889935745477,0.08000000029802322,0.04392857059836388,0.05287728801369667,0.000125
21,5.677671929097547,0.08000000029802322,0.040000000074505805,0.04984565690159798,0.000125
22,5.637976055935875,0.09000000029802323,0.04684523805975914,0.05697541490197182,6.25e-05
23,5.621313260626916,0.09000000029802323,0.04138889089226723,0.05294596016407013,6.25e-05
24,5.610691488097986,0.08000000029802322,0.03833333283662796,0.04848489984869957,6.25e-05
25,5.594446328019849,0.08000000029802322,0.044583334028720854,0.05339183762669563,6.25e-05
26,5.576897989282954,0.09000000029802323,0.05517857044935227,0.06341334104537964,3.125e-05
27,5.568991426359187,0.09000000029802323,0.044444443583488466,0.05555172473192215,3.125e-05
28,5.563996174174887,0.08000000029802322,0.04958333551883697,0.05708253800868988,3.125e-05
29,5.564642738184163,0.09000000029802323,0.05416666775941849,0.06292029604315758,3.125e-05
30,5.546028670869343,0.09000000238418579,0.05349999815225601,0.06243460327386856,1.5625e-05
