epoch,loss,hit_rate_at_10
1,7.798911918293346,1.1724386724386724
2,7.622666705738414,1.2806637806637806
3,7.5961785966699775,1.3347763347763348
4,7.561464548110962,1.6955266955266957
5,7.437076156789606,2.1825396825396823
6,7.264488501982256,2.7417027417027415
7,7.162412600083784,2.886002886002886
8,7.066453716971657,3.2647907647907646
9,6.959245508367365,4.076479076479076
10,6.8519393530758945,4.274891774891775
11,6.715225718238137,5.555555555555555
12,6.556182709607211,6.042568542568542
13,6.410648454319347,6.926406926406926
14,6.24770619652488,7.503607503607504
15,6.037259665402499,7.341269841269842
16,5.830765940926292,8.694083694083695
17,5.638985720547763,8.441558441558442
18,5.432197440754283,9.469696969696969
19,5.1642844676971436,10.082972582972582
20,4.921847625212236,10.497835497835498
21,4.670969399538907,10.47979797979798
22,4.415352192792025,11.093073593073594
23,4.172566738995639,11.129148629148629
24,3.9226081371307373,11.562049062049063
25,3.6864632042971524,11.904761904761903
26,3.471158742904663,12.13924963924964
27,3.27485360882499,12.067099567099566
28,3.0628308816389604,12.427849927849929
29,2.8606867465105923,12.518037518037517
30,2.6734534068541094,12.626262626262626
31,2.496725851839239,12.463924963924963
32,2.3032274462959985,12.103174603174603
33,2.1741681694984436,12.265512265512266
34,2.056027813391252,12.103174603174603
35,1.9107113426381892,12.536075036075037
36,1.7974366274746982,12.427849927849929
37,1.5553836822509766,13.14935064935065
38,1.4157009720802307,12.662337662337661
39,1.3405794176188381,12.572150072150073
40,1.2829017043113708,13.293650793650794
41,1.221116759560325,12.842712842712842
42,1.1750475384972312,13.005050505050505
43,1.1374202533201738,13.203463203463203
44,1.0878334858200767,12.788600288600287
45,1.0521228855306453,12.734487734487734
46,1.0188797224651684,13.077200577200577
47,0.9433048313314264,12.788600288600287
48,0.9035026674920862,12.932900432900432
49,0.8711088001728058,12.806637806637807
50,0.8536191853609952,12.806637806637807
