anime_id,title,format,episodes,duration,status,genres,average_score,popularity,studios
12863,Pretty Rhythm: Dear My Future,TV,51,24,FINISHED,"Drama, Music, Romance, Sports",65,2918,"Nomad, Tatsunoko Production, TV Tokyo, Dongwoo Animation"
20498,Puchimas!!: Petit Petit iDOLM@STER,ONA,74,2,FINISHED,"Comedy, Music",68,2811,Gathering
21207,Aikatsu! Music Award: Minna de Shou wo Moraima SHOW!,MOVIE,1,56,FINISHED,Music,68,1649,Bandai Namco Pictures
21697,Aikatsu Stars! The Movie,MOVIE,1,59,FINISHED,Music,73,2491,Bandai Namco Pictures
21787,Battle Girl High School,TV,12,23,FINISHED,"Action, Sci-Fi",53,7558,"SILVER LINK., flying DOG"
171080,Himitsu no AiPri,TV,51,24,FINISHED,"Music, Slice of Life",66,2471,"Dongwoo Animation, OLM, Avex Pictures, OLM, Shogakukan, Takara Tomy, TV Tokyo, Dongwoo Animation, NAS"
21553,Rilu Rilu Fairilu: Yousei no Door,TV,59,24,FINISHED,"Fantasy, Slice of Life",65,1436,"Sanrio, Studio DEEN, MediaNet, Sega Toys, TV Tokyo, Sotsu, AT-X"
21682,Tiger Mask W,TV,38,24,FINISHED,"Action, Drama, Sports",63,5710,Toei Animation
98059,KIRA KIRA☆PRECURE A LA MODE,TV,49,24,FINISHED,"Comedy, Fantasy, Mahou Shoujo, Slice of Life",72,6456,Toei Animation
99742,THE iDOLM@STER CINDERELLA GIRLS Theater 2nd Season (TV),TV_SHORT,13,3,FINISHED,"Comedy, Music, Slice of Life",64,3592,Gathering
101043,Aikatsu Friends!,TV,50,24,FINISHED,Music,71,5204,Bandai Namco Pictures
101097,Kiratto Pri☆chan,TV,51,24,FINISHED,"Music, Slice of Life",71,3358,"Tatsunoko Production, Dongwoo Animation, TV Tokyo"
128872,Aikatsu Planet!,TV,25,24,FINISHED,Music,60,2208,Bandai Namco Pictures
126905,Tropical-Rouge! Precure,TV,46,24,FINISHED,"Action, Comedy, Fantasy, Mahou Shoujo",74,7307,"Toei Animation, ADK Emotions, TV Asahi, ABC Animation"
117196,TOKYO MEW MEW NEW,TV,12,24,FINISHED,"Adventure, Comedy, Fantasy, Mahou Shoujo, Romance, Sci-Fi",64,18096,"Yumeta Company, Graphinica, Pony Canyon, Kodansha, TV Tokyo, Dentsu, Sentai Filmworks"
146346,My Life as Inukai-san’s Dog,TV_SHORT,12,12,FINISHED,"Comedy, Ecchi, Romance, Supernatural",46,42619,"Quad, King Records, Asmik Ace, Kodansha, KLOCKWORX, WWWave"
147850,SHAMAN KING FLOWERS,TV,13,24,FINISHED,"Action, Adventure, Comedy, Supernatural",65,10222,"Bridge, Kodansha, King Records, TV Tokyo, Dentsu"
87435,BanG Dream!,TV,13,24,FINISHED,"Comedy, Drama, Music, Slice of Life",68,37505,"Xebec, Issen"
2675,Doraemon: Nobita's Galactic Express,MOVIE,1,97,FINISHED,Fantasy,70,2821,
4443,Duel Masters Charge,TV,52,21,FINISHED,"Action, Adventure, Comedy",55,1268,"Shogakukan-Shueisha Productions, Studio Hibari"
10527,Duel Masters Cross,TV_SHORT,100,10,FINISHED,Action,49,660,Shogakukan Music & Digital Entertainment
10528,Duel Masters Cross Shock,TV_SHORT,50,10,FINISHED,Action,48,585,"Shogakukan-Shueisha Productions, Shogakukan Music & Digital Entertainment"
10524,Duel Masters Victory,TV_SHORT,52,10,FINISHED,"Action, Adventure, Comedy, Fantasy",48,518,Shogakukan-Shueisha Productions
10526,Duel Masters Zero,TV_SHORT,25,10,FINISHED,Action,48,657,Shogakukan Music & Digital Entertainment
21662,The Silver Guardian,TV_SHORT,12,14,FINISHED,"Action, Comedy, Fantasy, Supernatural",57,24708,"Haoliners Animation, Studio LAN, Pb Animation, Paper Plane Animation Studio"
21225,KAGEWANI,TV_SHORT,13,8,FINISHED,"Horror, Mystery, Supernatural, Thriller",58,7733,Tomovies
8740,ONE PIECE FILM: STRONG WORLD - EPISODE:0,OVA,1,18,FINISHED,"Action, Adventure, Comedy, Fantasy",76,17716,Toei Animation
463,One Piece: The Curse of the Sacred Sword,MOVIE,1,95,FINISHED,"Action, Adventure, Comedy, Fantasy",67,19913,Toei Animation
464,One Piece: Baron Omatsuri and the Secret Island,MOVIE,1,91,FINISHED,"Adventure, Comedy, Fantasy",78,31143,"Toei Animation, Fuji TV, Fujipacific Music"
465,One Piece: Mega Mecha Soldier of Karakuri Castle,MOVIE,1,94,FINISHED,"Adventure, Comedy, Fantasy",67,18371,"Toei Animation, Fujipacific Music"
2490,ONE PIECE: Mezase! Kaizoku Yakyuu Ou,SPECIAL,1,5,FINISHED,"Comedy, Fantasy, Sports",64,8276,Toei Animation
4444,Zero Duel Masters,TV,12,23,FINISHED,"Adventure, Comedy, Sports",52,797,"Shogakukan-Shueisha Productions, SynergySP, Nippon Animation"
21660,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Is It Wrong to Expect a Hot Spring in a Dungeon?,OVA,1,25,FINISHED,"Adventure, Comedy, Ecchi, Fantasy, Romance",67,47706,"J.C.STAFF, EGG FIRM, Genco"
112125,Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Is It Wrong to Go Searching for Herbs on a Deserted Island?,OVA,1,26,FINISHED,"Adventure, Comedy, Ecchi, Fantasy, Romance",63,35634,J.C.STAFF
21303,Assassination Classroom: Meeting Time,SPECIAL,1,10,FINISHED,"Action, Comedy, Supernatural",71,28921,"Lerche, Funimation"
